Beds,Baths,TotalRooms,Area,Type,Address,Sector_or_Block,Region,Town,City,Price
3,3,6,1150,Apartment,"Mirpur, Dhaka",No Sector/Block,Mirpur,Mirpur,Dhaka,20000.0
3,3,6,1165,Apartment,"Block F, Bashundhara R-A, Dhaka",Block F,Bashundhara R-A,Bashundhara R-A,Dhaka,22000.0
4,4,8,2500,Apartment,"Gulshan 1, Gulshan, Dhaka",No Sector/Block,Gulshan 1,Gulshan,Dhaka,250000.0
3,4,7,2000,Apartment,"Block J, Baridhara, Dhaka",Block J,Baridhara,Baridhara,Dhaka,60000.0
2,2,4,700,Apartment,"Block C, Section 6, Mirpur, Dhaka",Block C,Section 6,Mirpur,Dhaka,14000.0
3,4,7,2200,Apartment,"Dhanmondi, Dhaka",No Sector/Block,Dhanmondi,Dhanmondi,Dhaka,50000.0
3,3,6,1300,Apartment,"West Shewrapara, Mirpur, Dhaka",No Sector/Block,West Shewrapara,Mirpur,Dhaka,25000.0
3,3,6,1400,Apartment,"Baitul Aman Housing Society, Adabor, Dhaka",No Sector/Block,Baitul Aman Housing Society,Adabor,Dhaka,22000.0
3,4,7,1700,Apartment,"South Khulshi, Khulshi, Chattogram",No Sector/Block,South Khulshi,Khulshi,Chattogram,25000.0
2,2,4,1100,Apartment,"Sector 2, Block E, Aftab Nagar, Dhaka",Sector 2,Block E,Aftab Nagar,Dhaka,18000.0
3,3,6,1975,Apartment,"Block J, Bashundhara R-A, Dhaka",Block J,Bashundhara R-A,Bashundhara R-A,Dhaka,34000.0
